,Content,label
0,"Tại Hội thảo Du học Trung Quốc 2023 tổ chức sáng nay tại Hà Nội, tiến sĩ Nguyễn Quốc Tư, Chủ tịch Hội đồng quản trị Công ty Cổ phần Giáo dục Hoa ngữ Quốc tế (QTEDU) - đơn vị tổ chức, nhận định Trung Quốc đang gặp vấn đề già hóa dân số, do đó, nước này sẽ thu hút số lượng lớn du học sinh đến thông qua các chương trình học bổng kết hợp học nghề để có một lực lượng lao động giá rẻ. Nếu trước đây, chương trình cho du học sinh ở Trung Quốc chủ yếu là các ngành liên quan tới Hán ngữ thì xu hướng hiện nay là các chương trình học đang chuyển dần sang hướng kết hợp với học nghề và du học nghề như ở Nhật Bản hay Đức. Các trường cũng sẽ chuyển sang cấp học bổng bán phần nhiều hơn học bổng toàn phần.Theo Thông tấn xã, trong chuyến thăm Trung Quốc hồi cuối tháng 10 của Tổng Bí thư Nguyễn Phú Trọng, Trung Quốc cũng cam kết cung cấp không dưới 1.000 suất học bổng chính phủ, đào tạo không dưới 1.000 giáo viên tiếng Trung cho Việt Nam trong 5 năm tới. Do đó, theo các chuyên gia, cơ hội để học sinh, sinh viên Việt Nam du học Trung Quốc ngày càng nhiều.Với học bổng danh tiếng nhất - học bổng chính phủ Trung Quốc (CSC), ông Trần Anh Chung, Phó giám đốc Công ty TNHH Du học Vimiss Việt Nam, cho biết học bổng này năm nay cơ bản không thay đổi, thí sinh vẫn được phép dự tuyển ba nguyện vọng. Đây là học bổng toàn phần gồm học phí, phí ký túc xá và trợ cấp hàng tháng từ 2.500 - 3.500 nhân dân tệ (8,6 - 12triệu đồng), tùy theo bậc học. CSC có đủ các hệ đại học, thạc sĩ, tiến sĩ; đa dạng chuyên ngành và đào tạo bằng tiếng Anh hoặc Trung. Những trường đại học trong danh sách được cấp học bổng đều đạt được những tiêu chí đánh giá khắt khe của Bộ Giáo dục Trung Quốc, nhiều trường thuộc top những đại học tốt nhất thế giới.Số học bổng CSC cho sinh viên Việt Nam qua Bộ Giáo dục và Đào tạo đã tăng trong những năm gần đây, từ 34 suất năm 2020 lên 44 suất năm 2021, 50 suất năm 2022 và 69 suất năm 2023.Theo ông Chung, hai năm qua, việc học online với sinh viên ở một số nước châu Âu, châu Mỹ không thể diễn ra do lệch múi giờ nên năm nay Trung Quốc có thể sẽ ưu tiên học bổng cho các đối tượng này. Các ứng viên nên chuẩn bị hồ sơ đầy đủ và nộp sớm.Các chuyên gia du học Trung Quốc chia sẻ về xu xướng du học Trung Quốc 2023 tại hội thảo sáng nay ở Hà Nội. Ảnh: QTEDUMột học bổng giá trị khác là học bổng Khổng Tử (CIS) dành cho người theo chuyên ngành về ngôn ngữ, văn hóa của Trung Quốc. Học bổng này có chính sách tương tự học bổng CSC, miễn học phí, ký túc xá và cấp sinh hoạt phí hàng tháng 2.500-3.500 tệ tùy theo bậc học. Khi dịch bệnh bùng phát, học bổng này có thêm hình thức bán phần (chỉ miễn học phí). Năm nay, hơn 150 cơ sở đào tạo của Trung Quốc tuyển sinh học bổng này.Hiện ở Việt Nam có ba điểm cấp thư giới thiệu học bổng CIS là Đại học Sư phạm TP HCM, Đại học Ngoại ngữ (Đại học Quốc gia Hà Nội) và Viện Khổng tử (Đại học Hà Nội). Học sinh cần thư giới thiệu có thể liên hệ ba điểm trên. Trong đó, Đại học Sư phạm TP HCM đã công khai lịch nhận email xin thư giới thiệu của Viện Khổng tử từ 15/12 đến 15/2.""Các bạn nhớ lịch này để xin thư giới thiệu sớm, chuẩn bị hồ sơ đầy đủ trước 15/3 để nộp"", ông Chung gợi ý.Theo bà Đinh Thanh Bình, Giám đốc Trung tâm Ngôn ngữ Trác Việt, ngoài hai học bổng nổi tiếng là học bổng CSC và học bổng CIS, Trung Quốc có rất nhiều loại học bổng khác, như học bổng của trường, của địa phương. Trong khi CSC và CIS yêu cầu chứng chỉ năng lực Hán ngữ quốc tế (HSK 6 cấp độ, HSKK 9 cấp độ), cũng có một số học bổng không yêu cầu chứng chỉ này mà cấp thêm cho học sinh một năm học tiếng, tùy từng trường. Bà Bình ví dụ học bổng toàn phần ASEAN của tỉnh Quảng Tây, gồm một năm học tiếng, học phí, miễn ký túc, bảo hiểm, thậm chí sinh hoạt phí hàng tháng.Song theo bà, ứng viên vẫn nên có chứng chỉ HSK, thấp nhất từ HSK 3, vì chứng chỉ này giúp các em có cơ hội với nhiều học bổng hơn và không mất thêm thời gian học tiếng.Tại Việt Nam, hiện 7 điểm tổ chức thi HSK, HSKK bị hoãn để hoàn thiện hồ sơ theo Thông tư 11 năm 2022 của Bộ Giáo dục và Đào tạo về liên kết tổ chức thi cấp chứng chỉ ngoại ngữ của nước ngoài. Tiến sĩ Tư dự đoán nhanh nhất phải tới tháng 1 hoặc 2 năm tới các kỳ thi mới được khởi động lại, nếu không phải tới tháng 3 hoặc 4. Việc này ảnh hưởng lớn đến những thí sinh muốn sử dụng chứng chỉ này để xin học bổng, việc làm hay tốt nghiệp. Thí sinh cần chứng chỉ HSK chỉ còn cách sang Thái Lan hoặc một số nước lân cận để thi.""Tôi hy vọng Bộ Giáo dục và Đào tạo thẩm duyệt nhanh hơn để các kỳ thi được mở lại"", ông Tư nói.Theo thống kê tháng 12/2020 của mạng xã hội Tencent, có hơn 13.500 du học sinh Việt Nam theo học tại Trung Quốc. Con số này nhỉnh hơn số du học sinh Việt tại Anh (12.000), thấp hơn số du học sinh ở Mỹ (hơn 20.000), Úc, Nhật Bản, Hàn Quốc (trên 30.000).
Nếu không kịp thi lấy chứng chỉ tiếng Trung HSK trước tháng 1/2023, Bảo Linh sẽ không còn cơ hội để ứng tuyển học bổng chính phủ Trung Quốc.



10



Ngoài IELTS và các chứng chỉ tiếng Anh khác, nhiều đợt thi lấy chứng chỉ tiếng Trung, Nhật và tiếng Hàn tại Việt Nam cũng bị hoãn.



102



Bỏ gần trăm triệu mua gói luyện thi chứng chỉ IELTS cho con gái cách đây ba năm, chị Hằng (Cầu Giấy, Hà Nội) kỳ vọng con đạt 7.0 để xét tuyển vào đại học năm 2023.



83



Dương Thị Hạ, 25 tuổi, ở Quảng Nam, giành học bổng thạc sĩ của Đại học Tương Đàm, Trung Quốc, sau hơn một năm tự học tiếng Trung.



11


Bình Minh",giaoduc
1,"Cảnh sắc, thời tiếtIt snows in winter (Mùa đông thường hay có tuyết).I just simply love the beauty of snowflakes (Chỉ đơn giản là tôi thích vẻ đẹp của bông tuyết thôi mà).In winter, the children in my neighborhood would gather and make a big snowman (Cứ đến mùa đông là lũ trẻ trong khu lại tụ tập để làm người tuyết thật lớn).When we were boys and girls, we would love to fight each other with snowballs whenever winter came. It was a lot of fun (Hồi còn nhỏ, cứ đến mùa đông là bọn tôi lại thích chơi chọi nhau bằng những quả bóng tuyết. Rất là vui.)Trang phụcMy mother bought me a nice red woolen hat last winter (Mùa đông năm ngoái, mẹ mua cho tôi một cái nón len màu đỏ rất xinh).My grandmother plans to knit some scarves for her grandchildren as Christmas presents (Năm nay, bà ngoại định đan khăn choàng làm quà giáng sinh cho các cháu).Mom, you don't need to buy Kitty any gloves. She has tons of gloves and mittens in her closet (Mẹ ơi, mẹ khỏi cần mua găng tay cho Kitty. Bé có cả đống găng tay trong tủ rồi).Look at my new earflaps. Aren't they cool? (Chị mới mua cái đồ chụp tai giữ ấm, ngầu không?).Put on your coat. It's snowing out there (Anh nhớ mặc áo khoác vào. Trời đang tuyết đó).Excuse me, how much is this jumper? (Cô ơi, cái áo len này cô bán bao nhiêu?).I need to buy a new windbreaker, mom. This one is worn out (Chắc con phải mua cái áo gió mới đó mẹ. Cái này nó cũ lắm rồi).Ảnh: StockadobeHoạt độngHey, wanna go skiing with me next Saturday? (Ê, tuần sau đi trượt tuyết với tôi không?).Snowboarding sounds fun to me (Nghe trượt ván trên tuyết thú vị thật).Hey John, wanna join our ice hockey team? (Ê John, vào đội ice hockey của tụi tôi không?).They must slide down a slippery bobsleigh track (Họ phải trượt xuống đoạn đường trơn đó).35 figure skaters will compete in the national competition this year (35 vận động viên trượt băng nghệ thuật sẽ tham gia giải đấu toàn quốc năm nay).Are you watching the Olympics Curling tournament tonight? (Bạn có xem Olympia bi đá trên băng tối nay không?).Tính từ miêu tả mùa đôngThe frosty air stung my cheeks (Không khí lạnh táp vào má tôi).It's freezing in here. Can I close the window? (Trời lạnh quá. Tôi đóng cửa lại nhé?).I particularly like the cold weather this year (Mình cực kỳ thích thời tiết lạnh của năm nay).Her skin was icy to the touch (Da con bé đụng vô lạnh lắm).Look! Mary and Sue are skating over the frozen lake (Ê, Mary với Sue đang trượt băng qua mặt hồ kìa!).Dad, I feel a bit chilly, so I put on my jacket (Ba, con thấy hơi lạnh nên con mặc áo khoác).It stayed misty until late this morning (Sáng nay trời sương mù đến gần trưa mới hết).It was cold and foggy last night (Tối hôm qua trời vừa lạnh vừa có sương mù).You should drive carefully. The road is wet and slippery (Đường trơn đó. Lái xe cẩn thận nhé).Those were gray dreary days with periods of rain (Đó là những ngày mưa xám trời).
Nếu quán ăn có món tráng miệng ngon, bạn nói ""fantastic desserts""; muốn quay lại nhà hàng, bạn dùng ""I'll probably go there again"".







Nếu quá nôn nóng, chuyển chỗ học liên tục hoặc mua quá nhiều tài liệu mà không học hết, bạn sẽ gặp phản ứng ngược, khiến trình độ ""giẫm chân tại chỗ"".



6


Nghiêm Thị Mỹ Xuân(Thạc sỹ Ngôn Ngữ Học Ứng Dụng - Đại Học Curtin, Australia)",giaoduc
2,"Em thấy ngành này từng rất thu hút những năm trước 2020, nhưng trải qua gần ba năm đại dịch, nhiều người thất nghiệp nên nguy cơ thừa nhân lực càng cao. Trong đại dịch, nhiều doanh nghiệp cũng cắt giảm nhân sự nên em càng lo lắng.Em mong anh, chị trong lĩnh vực dịch vụ cho em lời khuyên và chia sẻ về tình hình ngành dịch vụ trong nước hiện tại. Ngoài ra, với mục tiêu làm quản lý trong thời gian ngắn sau tốt nghiệp, điều này có khả thi với một sinh viên nông thôn, không có quan hệ trong ngành du lịch như em? Nếu không khả thi, em có nên sớm từ bỏ ngành?Trọng
Em muốn học thạc sĩ tại Ba Lan vì học phí vừa phải, phù hợp tài chính, nhưng nước này lại không phải điểm đến du học nổi tiếng.



13



Em hướng nội, nên bố mẹ, người thân nói không hợp ngành Marketing, khuyên em theo Sư phạm để ổn định.



29


",giaoduc
3,"Câu 1:>>Đáp ánCâu 2: Với ba lần cắt, bạn có thể chia một chiếc bánh kem hình tròn thành 8 phần bằng nhau?>>Đáp ánCâu 3: Theo bạn, con đường từ mũi tên đi vào mê cung (phía dưới bên trái) tới mũi tên đi ra (phía trên bên phải) sẽ đi qua những số nào?>>Đáp án
Mẹ hơn con trai 45 tuổi. Biết số tuổi của hai người đều chứa các chữ số nguyên tố, có vị trí đảo ngược nhau. Trong 30 giây, bạn hãy tìm số tuổi của hai mẹ con.



22



Trong 20 giây, bạn cần quan sát để phát hiện quy luật của khối 8 hình cho sẵn, từ đó tìm ra hình còn thiếu để điền vào vị trí cuối cùng.



1


Theo Bright sides",giaoduc
4,"UBND TP HCM chiều nay chấp thuận đề xuất của Sở Giáo dục và Đào tạo về việc điều chỉnh lịch nghỉ Tết Nguyên đán Quý Mão 2023. Tất cả trẻ mầm non, học sinh phổ thông nghỉ Tết Nguyên đán từ 18 đến 29/1 (từ 27 tháng Chạp đến 8 tháng Giêng âm lịch), tổng 12 ngày.Trước đó, TP HCM cho học sinh nghỉ 9 ngày, từ 18-26/1/2023 (từ 27 tháng Chạp đến 5 tháng Giêng âm lịch). Tuy nhiên, nhiều phụ huynh và học sinh cho rằng thời gian nghỉ Tết như vậy là ngắn, ngày trở lại trường vào thứ 6, sau đó lại nghỉ thứ 7, chủ nhật, gây bất tiện trong di chuyển.Giám đốc Sở Giáo dục và Đào tạo TP HCM Nguyễn Văn Hiếu cho biết các trường sẽ căn cứ kế hoạch giáo dục của đơn vị mình để lên kế hoạch dạy bù phù hợp.Học sinh THPT Trưng Vương hôm 14/12/2021 khi quay trở lại trường học trực tiếp sau Covid-19. Ảnh: Quỳnh TrầnNăm ngoái, học sinh TP HCM nghỉ Tết Nguyên đán 9 ngày, các năm trước khoảng 14 ngày. Về quyết định ban đầu cho học sinh nghỉ Tết 9 ngày, ông Hồ Tấn Minh, Chánh Văn phòng Sở Giáo dục và Đào tạo TP HCM, cho biết những năm trước, học sinh phổ thông bước vào năm học mới từ giữa tháng 8. Tuy nhiên, năm học 2022-2023, 1,6 triệu trẻ mầm non và học sinh phổ thông TP HCM bắt đầu chương trình từ 5/9 theo yêu cầu của Bộ Giáo dục và Đào tạo. ""Chỉ có hai tuần dự trữ, dành cho Tết Nguyên đán cùng các kỳ nghỉ lễ khác trong năm học nên thành phố cần cân đối, nhằm đảm bảo thực hiện kế hoạch giáo dục"", ông Minh nói.Ngoài TP HCM, nhiều địa phương khác đã công bố lịch nghỉ Tết Quý Mão cho học sinh, chủ yếu từ 11 đến 14 ngày. Riêng Kiên Giang chưa công bố lịch cụ thể nhưng cho biết thời gian nghỉ là một tuần, còn Ninh Thuận không quá 10 ngày.Dù thời điểm bắt đầu nghỉ khác nhau, không tỉnh, thành nào cho học sinh trở lại trường sau ngày 30/1/2023.
Đa số các địa phương cho học sinh nghỉ Tết Nguyên đán 12-14 ngày, TP HCM ít hơn - 9 ngày, Kiên Giang nghỉ một tuần.



29


Thanh Hằng",giaoduc
5,"Tại Báo cáo tình hình thực hiện nhiệm vụ năm học 2022-2023 ngày 1/12, ông Nguyễn Văn Hiếu, Giám đốc Sở Giáo dục và Đào tạo TP HCM, đề xuất UBND thành phố kiến nghị Bộ Giáo dục và Đào tạo điều chỉnh số tiết dạy của giáo viên Âm nhạc, Mỹ thuật, Tin học và Công nghệ, tiếng Anh bậc tiểu học, THCS.Theo lãnh đạo Sở, giáo viên phổ thông có cùng trình độ chuyên môn từ cử nhân trở lên, nhưng định mức số tiết mỗi tuần của giáo viên tiểu học là 23, THCS 19 và THPT 17. Do đó, Sở cho rằng cần giảm số tiết mỗi tuần của giáo viên tiểu học, THCS bằng THPT.Sở Giáo dục và Đào tạo TP HCM cũng kiến nghị UBND xây dựng một số chế độ, chính sách đặc thù với giáo viên tiểu học môn tiếng Anh, Tin học, Giáo dục thể chất, Âm nhạc, Mỹ thuật. Theo Sở, chương trình giáo dục phổ thông 2018 đặt ra nhiều yêu cầu đổi mới, trong khi cơ chế chưa đảm bảo cho giáo viên.Giáo viên trường Tiểu học Bông Sao, quận 3 trong tiết học cuối tháng 2. Ảnh: Mạnh TùngTrước đó, trong báo cáo về việc dạy tiếng Anh được chuẩn bị cho Hội nghị tổng kết giáo dục tiểu học ngày 31/8, Sở Giáo dục và Đào tạo TP HCM từng nêu mong muốn Bộ Giáo dục và Đào tạo giảm số tiết nghĩa vụ của giáo viên tiếng Anh. Sở nhìn nhận ""lương của giáo viên tiếng Anh còn thấp"". Nếu mới ra trường, các thầy cô chỉ được trả hơn 3 triệu đồng một tháng. Trong khi đó, số tiết dạy nghĩa vụ (còn gọi là định mức) ""tương đối cao"": 23 tiết mỗi tuần. ""Các quận huyện rất khó tuyển hoặc giữ chân giáo viên giỏi, có kinh nghiệm. Đặc biệt ở các vùng xa xôi khó khăn, việc tuyển giáo viên tiếng Anh đủ tiêu chuẩn gần như không thể thực hiện"", Sở cho hay.Năm học 2022-2023, TP HCM có hơn 1,63 triệu học sinh. Số giáo viên mầm non và phổ thông là 78.400, thiếu gần 6.000 giáo viên, chủ yếu ở bậc tiểu học và THCS (chiếm khoảng 78%). Các môn thiếu giáo viên nhiều nhất là tiếng Anh, Tin học vì ""đa số người có chuyên môn chọn làm ngoài"", theo nhận định của Sở.
Giáo viên tiếng Anh bậc tiểu học mới ra trường có mức lương trên 3 triệu đồng một tháng trong khi số tiết dạy định mức ""tương đối cao"": 23 tiết/tuần.



80



Thiếu giáo viên Tiếng Anh, Tin học bậc tiểu học, TP HCM yêu cầu điều động, biệt phái giáo viên cấp THCS xuống dạy.



63


Thanh Hằng",giaoduc
6,"""Năm nay, em đã 24 tuổi. Năm sau, em sẽ quá tuổi và không thể xin học bổng này nữa"", Linh nói do Học bổng chính phủ Trung Quốc (CSC) giới hạn độ tuổi ứng viên là dưới 25 tuổi đối với hệ đại học.Nữ sinh cũng cho biết, hạn cuối để ứng tuyển học bổng năm nay là tháng 3/2023, em cần chứng chỉ Kỳ thi năng lực Hán ngữ (HSK) 4 (trên thang 6 cấp độ) để nộp hồ sơ học ngành Giáo dục Hán ngữ, Đại học Sư phạm Giang Tô.Linh giải thích, để thi HSK, thí sinh cần đăng ký trước khoảng một tháng và phải chờ một tháng sau mới có kết quả. Tháng 2 không có lịch thi vì rơi vào dịp Tết Nguyên đán ở cả Việt Nam và Trung Quốc, do đó đợt thi muộn nhất để Linh kịp có chứng chỉ là tháng 1/2023.""Bây giờ đã đầu tháng 12 rồi và vẫn không có thông tin gì về việc kỳ thi HSK sẽ được mở lại"", Linh nói.Kỳ thi HSK ở Việt Nam đã bị hoãn từ giữa tháng 9, trước cả kỳ thi chứng chỉ tiếng Anh IELTS để hoàn thiện hồ sơ theo Thông tư 11 năm 2022 của Bộ Giáo dục và Đào tạo về liên kết tổ chức thi cấp chứng chỉ ngoại ngữ của nước ngoài.Trong khi IELTS đã được cấp phép trở lại một tuần sau khi các đơn vị tổ chức thông báo hoãn thi, tiếp đó là các chứng chỉ tiếng Nhật, tiếng Anh cho trẻ em, nhưng đến nay thời điểm kỳ thi HSK được tổ chức trở lại vẫn chưa rõ.Sách ôn thi chứng chỉ HSK. Ảnh: NVCCHiện Việt Nam có 7 điểm tổ chức thi chứng chỉ HSK được phía Trung Quốc ủy quyền, gồm: Đại học Sư phạm TP HCM, Đại học Ngoại ngữ - Đại học Huế, Viện Khổng Tử (Đại học Hà Nội), Đại học Thành Đông (Hải Dương), trường Ngoại ngữ - Đại học Thái Nguyên , Đại học Duy Tân (Đà Nẵng) và Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội.Theo thông tin trên fanpage của một đơn vị tổ chức thi tại Hà Nội, từ đầu năm đến nay, bốn đợt thi online và một đợt thi trực tiếp đã diễn ra. Số đăng ký đông nhất của một đợt thi online là gần 2.000 lượt, các đợt khác dao động 800 - 900. Riêng đợt thi trực tiếp trên giấy hồi tháng 6, gần 1.400 thí sinh dự thi. Thông thường, kỳ thi (cả online và trên giấy) diễn ra đều đặn hàng tháng.Linh đang trong nhóm gần 1.000 thành viên nghe ngóng về các khả năng đăng ký thi chứng chỉ này. Phương án bay thẳng qua Trung Quốc không khả thi vì hiện nước này chỉ cấp visa cho người nước ngoài đến làm việc (có giấy xác nhận của công ty đang làm) và các du học sinh hệ đại học, thạc sĩ, tiến sĩ (có giấy báo mời quay lại trường).Nữ sinh nói ban đầu em và bạn bè tìm cách liên hệ với điểm thi tại các trường đại học ở Trung Quốc để thi online. Điểm đến đầu tiên được nhắc tới là Đại học Cáp Nhĩ Tân với đợt thi ngày 10/12, chi phí từ 650 - 1.050 nhân dân tệ (2,3-3,6 triệu đồng) tùy cấp độ.""Mọi người xôn xao hỏi nhau cách đăng ký, chuyển khoản cho trường, cách cài đặt thiết bị, thời gian có chứng chỉ, nhưng chỉ hơn mười giờ sau, tất cả nhận được thông tin sinh viên có địa chỉ IP tại Việt Nam không thể thi"", Mai, 26 tuổi, ở Hà Nội, nói.Một hướng khác là đăng ký các khóa học online ở Trung Quốc để được thi chứng chỉ. Hôm 23/11, Bảo Ngọc đăng ký khoá học tiếng Trung trình độ HSK5 tại trường Đại học Kinh tế Tài chính Tây Nam với học phí 2.000 tệ (khoảng 7 triệu đồng). Ngọc hy vọng kết thúc khóa học sau một tháng rồi tham gia kỳ thi của trường. Cô sau đó được gửi đường dẫn tham gia một nhóm trên Wechat có hơn 90 thành viên để theo dõi thông tin.""Một người được cho là giáo viên của trường gửi cho em link đăng ký bài kiểm tra đầu vào. Tuy nhiên, ngày 24/11, người này nhắn trường không thể tổ chức kỳ thi và lớp ôn tập HSK cấp tốc cũng sẽ tạm dừng tuyển sinh học sinh Việt Nam"", Ngọc cho biết.Không chỉ những thí sinh này, nhiều người tưởng đã chắc suất thi HSK online cũng gặp khó. Nguyệt Nga xin được học bổng học tiếng online một học kỳ tại trường Đại học Tài chính Kinh tế Trung ương của Trung Quốc từ năm ngoái. Sau kỳ học này, Nga sẽ được thi chứng chỉ HSK do trường tổ chức bằng hình thức online. Thí sinh phải đặt camera ở 2 góc khi làm bài. Tuy nhiên, Nga cho biết sau đó cũng nhận được thông báo rằng không thể thi.""Em cảm giác như mình hết đường rồi"", Nga nói, cho biết em cũng cần chứng chỉ để làm hồ sơ ứng tuyển học bổng. Nga và nhiều thí sinh hy vọng kỳ thi tháng 1/2023 ở Việt Nam sẽ được tổ chức. Tuy nhiên, với số lượng điểm thi và nguồn lực có hạn, nữ sinh băn khoăn liệu có đủ chỗ cho tất cả những người cần thi.Hồi tháng 10, một điểm thi HSK ở Hà Nội nói chưa có phương án khác ngoài việc chờ được Bộ Giáo dục và Đào tạo cấp phép tổ chức thi. Theo nguồn tin của VnExpress hôm 27/11, hồ sơ xin cấp phép của các đơn vị tổ chức các kỳ thi chứng chỉ ngoại ngữ tại Việt Nam đang được xử lý để sớm trình lãnh đạo Bộ Giáo dục và Đào tạo phê duyệt.Trong khi đó, trên nhóm Zalo của Linh, nhiều thành viên kêu gọi viết thư đề xuất gửi đến hòm thư điện tử của Bộ Giáo dục và Đào tạo. ""Nếu không kịp thi, em nghĩ mình không có cơ hội apply học bổng năm 2023. Và nhanh nhất là em phải chờ để apply cho năm 2024, nếu đậu thì tháng 9/2024 mới có thể nhập học. Đó thật sự là khoảng thời gian rất dài"", một nữ sinh trong nhóm nói, cho biết điều này có thể ảnh hưởng đến tương lai của em rất nhiều.
Bộ Giáo dục và Đào tạo sẽ ưu tiên phê duyệt cho các cơ sở tổ chức thi cấp chứng chỉ năng lực ngoại ngữ, đặc biệt là IELTS, TOEFL, trong vài ngày tới.



12



Từ hôm nay, Hội đồng Anh được Bộ Giáo dục và Đào tạo cấp phép tổ chức thi và cấp chứng chỉ IELTS trở lại.



9



Từ hôm nay, Tổ chức giáo dục IDP được Bộ Giáo dục và Đào tạo cấp phép tổ chức thi và cấp chứng chỉ IELTS trở lại.



39


Lệ Thu – Minh Phương",giaoduc
7,"E đang học lớp 11, dự định du học Mỹ ngành Ngôn ngữ Anh (để làm giáo viên). Tuy nhiên em không biết ở Mỹ có ngành đó không. Em cũng đang phân vân giữa ngành Tâm lý học và Ngôn ngữ Anh. Mong anh, chị chia sẻ cho em về ngành Ngôn ngữ Anh ở Mỹ và cho em lời khuyên nên chọn ngành nào.Mai Lan",giaoduc
8,"Các loại tiền tố thường gặp:
Các từ vựng tiếng Anh dưới đây về chủ đề trường học thường được sử dụng trong giao tiếp hàng ngày hoặc các văn bản trong lĩnh vực giáo dục.







""Either...or"" mang nghĩa khẳng định, trong khi ""neither...nor"" diễn đạt ý phủ định.







Tính từ sở hữu thể hiện tính chất sở hữu của chủ thể đối với danh từ đứng sau, trong khi đại từ sở hữu dùng thay thế cho tính từ sở hữu và danh từ, tránh nhắc lại.



6


Đinh Thị Thái Hà",giaoduc
9,"Câu 1:>> Đáp ánCâu 2:>> Đáp ánCâu 3:>> Đáp ánCâu 4:>> Đáp án
Với những hình ảnh về các món ăn dưới đây, bạn hãy đoán xem đó là quốc gia nào?



1



Các câu đố dưới đây thử thách tìm từ vựng chủ đề vật dụng trong nhà tắm. Dựa vào gợi ý, bạn hãy đoán xem đó là từ gì.







Trong 10 giây, bạn hãy đoán các thành ngữ dưới đây và tìm hiểu ý nghĩa của chúng.



2



Hãy quan sát sự di chuyển của các hình, khối màu để tìm ra quy luật và điền đáp án đúng.






Theo 7- Seconds Riddles",giaoduc
